Batch,Year,Academic Rate,Internship Rate,Current Preference,After Graduate,Career Path,Prefer Country,Career Type
4,4th,4,3,Programming,Working,Work for a company,Japan,"Web Development, UX/UI"
4,4th,4,4,Doing business,Pursue a master's degree,Entrepreneurship,Japan,"Web Development, Project Manager"
4,4th,3,3,Programming,Working,Work for a company,Japan,Project Manager
8,2nd,4,4,Programming,Pursue a master's degree,Entrepreneurship,Japan,"Data Scientist, cyber security , IT business "
6,3rd,3,3,Programming,Working,Work for a company,Japan,"Web Development, Data Scientist, Graphic Designer, UX/UI, Digital Marketing, Project Manager"
4,4th,3,3,Doing business,Working,Work for a company,Cambodia,"Web Development, Graphic Designer, Digital Marketing, Mobile app development"
4,4th,4,4,Programming,Working,Work for a company,Japan,"Web Development, Project Manager, AI"
4,4th,3,4,Programming,Working,Work for a company,Cambodia,Data Scientist
6,3rd,3,3,Programming,Working,Work for a company,Japan,Data Scientist
4,4th,3,4,Programming,Pursue a master's degree,Work for a company,Japan,"Web Development, UX/UI, Quality Assurance"
4,4th,4,4,Programming,Working,Work for a company,Cambodia,"Data Scientist, Project Manager"
4,4th,3,3,Programming,Working,Work for a company,Japan,"Web Development, Data Scientist"
4,4th,4,4,Programming,Working,Work for a company,Cambodia,"Web Development, Project Manager"
4,4th,4,5,Programming,Working,Work for a company,Japan,"Web Development, UX/UI, Digital Marketing, Project Manager"
4,4th,3,3,Programming,Working,Work for a company,Cambodia,"Web Development, UX/UI, Project Manager"
4,4th,4,4,Doing business,Working,Entrepreneurship,Cambodia,"Project Manager, Business"
4,4th,3,4,Doing business,Pursue a master's degree,Work for a company,Cambodia,Web Development
6,3rd,3,4,Doing business,Working,Entrepreneurship,Japan,"Graphic Designer, Digital Marketing, Project Manager"
4,4th,3,3,Doing business,Working,Entrepreneurship,Cambodia,"Graphic Designer, UX/UI, Digital Marketing, Project Manager"
8,2nd,2,3,Programming,Working,Work for a company,Cambodia,"Web Development, Data Scientist"
6,3rd,3,3,Doing business,Working,Entrepreneurship,Cambodia,"Web Development, Graphic Designer, UX/UI"
6,3rd,3,3,Programming,Working,Work for a company,Cambodia,"Web Development, UX/UI, Project Manager"
4,4th,3,3,Doing business,Working,Entrepreneurship,Cambodia,"Web Development, Graphic Designer, UX/UI, Digital Marketing, Project Manager"
6,3rd,3,3,Programming,Working,Work for a company,Japan,"Web Development, Graphic Designer, Digital Marketing, Project Manager"
8,2nd,3,3,Programming,Working,Work for a company,Japan,"Web Development, Data Scientist, Database Administrator, Cyber security"
6,3rd,3,3,Doing business,Working,Entrepreneurship,Japan,"Web Development, UX/UI, Digital Marketing, Project Manager"
4,4th,3,3,Doing business,Working,Entrepreneurship,Japan,"Web Development, Graphic Designer, UX/UI, Database Administrator, Project Manager"
6,3rd,3,3,Programming,Working,Entrepreneurship,Cambodia,"Web Development, UX/UI, Project Manager"
6,3rd,3,3,Programming,Pursue a master's degree,Entrepreneurship,Cambodia,"Data Scientist, CyberSecurity Researcher, and AI Researcher"
4,4th,3,3,Programming,Working,Work for a company,Cambodia,Web Development
6,3rd,3,3,Doing business,Pursue a master's degree,Work for a company,Japan,"Data Scientist, UX/UI, Project Manager"
4,4th,3,3,Programming,Working,Work for a company,Japan,"Web Development, Graphic Designer, UX/UI, Database Administrator"
4,4th,3,3,Doing business,Working,Entrepreneurship,Cambodia,"Web Development, UX/UI, Digital Marketing, Project Manager"
6,3rd,3,3,Doing business,Working,Work for a company,Japan,"Web Development, Graphic Designer, UX/UI, Digital Marketing"
